visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,class,log_entropy,entropy_x_contrast,IR_range,IR_norm_range
3.0,140.0,43.5,0.0833,862.8417,0.0254,3.889,163.0,240.0,213.3555,0.0,-3.673006104957646,21.916179179999997,26.644499999999994,0.006901123420942089
3.0,135.0,41.9063,0.079,690.3291,0.0259,3.834,167.0,239.0,213.7188,0.0,-3.653512310276645,17.87952369,25.281200000000013,0.006696358600885361
2.0,126.0,21.0586,0.0406,308.3583,0.0684,3.1702,174.0,240.0,227.5859,0.0,-2.682382454353632,21.09170772,12.41409999999999,0.006060614233252526
4.0,197.0,77.4805,0.089,874.4709,0.0243,3.9442,155.0,239.0,197.2773,0.0,-3.7172789286356345,21.24964287,41.7227,0.00781608164685429
7.0,193.0,88.8398,0.0884,810.1126,0.0223,3.9318,150.0,236.0,186.0195,0.0,-3.803168600516064,18.065510980000003,49.980500000000006,0.008457894647245763
5.0,190.0,57.1836,0.0568,388.4958,0.0398,3.5269,135.0,236.0,195.3125,0.0,-3.223888366691745,15.46213284,40.6875,0.008950518518518519
5.0,144.0,42.0391,0.0418,250.875,0.0543,3.2405,94.0,225.0,179.1484,0.0,-2.913231052042247,13.622512500000001,45.85159999999999,0.013361085118687053
3.0,130.0,18.2188,0.0297,180.3792,0.1084,2.8236,155.0,235.0,216.5117,0.0,-2.2219271899765913,19.55310528,18.48830000000001,0.007002527033218364
3.0,136.0,44.7813,0.0592,433.3792,0.0394,3.5576,152.0,238.0,205.6914,0.0,-3.233989462678249,17.075140479999998,32.30860000000001,0.007612323479174193
3.0,124.0,28.5781,0.0359,234.35,0.1251,2.8862,159.0,240.0,220.0352,0.0,-2.0786418615092717,29.317184999999995,19.964799999999997,0.0068599658702978026
3.0,187.0,86.0547,0.0756,624.3583,0.0265,3.7939,150.0,239.0,189.0586,0.0,-3.6306105459899607,16.54549495,49.94139999999999,0.008427722057252795
4.0,191.0,81.0234,0.0869,787.4542,0.0257,3.8711,150.0,237.0,190.6914,0.0,-3.661264287080963,20.23757294,46.30860000000001,0.008285638471373119
3.0,169.0,57.9648,0.0844,802.8417,0.0263,3.8562,153.0,237.0,203.0938,0.0,-3.638186339798418,21.11473671,33.90620000000001,0.007627114209508796
5.0,187.0,78.8047,0.0923,883.4042,0.0224,3.9528,151.0,236.0,193.2969,0.0,-3.7986943201211427,19.788254079999998,42.703100000000006,0.008085561161533208
6.0,181.0,73.2891,0.0972,1046.5958,0.0217,4.0206,152.0,234.0,194.8008,0.0,-3.830443018435723,22.711128860000002,39.19919999999999,0.007902809866337951
4.0,148.0,32.0625,0.0608,546.9709,0.0388,3.5703,155.0,237.0,218.5234,0.0,-3.249335032352909,21.222470920000003,18.47659999999999,0.006997109957398229
4.0,121.0,33.7031,0.0579,414.2751,0.0358,3.5909,175.0,236.0,218.7148,0.0,-3.3298073855754824,14.83104858,17.285200000000003,0.006165890138991182
7.0,155.0,59.2305,0.0837,745.0083,0.025,3.8622,162.0,234.0,203.8516,0.0,-3.6888794541139363,18.6252075,30.14840000000001,0.007085764568168435
5.0,116.0,36.0195,0.0703,568.975,0.0315,3.6985,171.0,234.0,216.6875,0.0,-3.4577677331505496,17.9227125,17.3125,0.006315182244622228
4.0,78.0,12.1563,0.0215,107.8208,0.1449,2.5383,193.0,235.0,229.9531,0.0,-1.9317114296555002,15.62323392,5.046899999999994,0.005295064864578389
4.0,128.0,22.0547,0.0403,298.7,0.0823,3.1272,172.0,236.0,224.1055,0.0,-2.497384171299113,24.583009999999998,11.894499999999994,0.006122531679301998
4.0,127.0,26.6719,0.0559,403.9792,0.0361,3.5378,167.0,234.0,220.6367,0.0,-3.3214624136433017,14.58364912,13.36330000000001,0.006350700517141615
6.0,150.0,44.6367,0.0844,811.0958,0.0267,3.8723,161.0,235.0,212.1094,0.0,-3.623091713575933,21.656257860000004,22.890600000000006,0.006881483466515612
6.0,141.0,51.9727,0.0799,709.2292,0.0259,3.8191,162.0,237.0,208.5352,0.0,-3.653512310276645,18.36903628,28.464799999999997,0.007015424556444011
6.0,140.0,49.7695,0.0864,789.9916,0.0236,3.896,165.0,237.0,210.7266,0.0,-3.7465085669505727,18.64380176,26.27340000000001,0.006816242640291431
5.0,78.0,17.043,0.0299,140.3542,0.0764,2.9614,195.0,238.0,230.6953,0.0,-2.5717725828096625,10.723060879999998,7.304699999999997,0.00529058381559061
6.0,115.0,23.8047,0.042,342.0583,0.0733,3.1733,176.0,237.0,226.625,0.0,-2.613194670089531,25.072873389999998,10.375,0.005941934513363085
7.0,141.0,32.9063,0.067,547.2209,0.0325,3.6859,166.0,237.0,218.8398,0.0,-3.4265151896464454,17.78467925,18.160200000000003,0.006523999945958158
7.0,145.0,40.3945,0.0629,490.3209,0.0326,3.6723,165.0,235.0,214.9297,0.0,-3.423442990609475,15.984461339999998,20.070300000000003,0.006626550096345104
9.0,114.0,36.5625,0.053,326.45,0.0377,3.4987,184.0,234.0,218.4648,0.0,-3.278095184528172,12.307165,15.535200000000003,0.005821254181153131
12.0,105.0,41.4961,0.0588,360.875,0.0347,3.5334,181.0,233.0,216.2734,0.0,-3.3610155920293234,12.5223625,16.72659999999999,0.005952155085551705
12.0,137.0,51.0352,0.072,584.0667,0.028,3.7435,167.0,233.0,210.4688,0.0,-3.575550768806933,16.3538676,22.531200000000013,0.006629056567236206
10.0,182.0,106.7813,0.1244,1534.4332,0.019,4.1332,151.0,233.0,176.25,0.0,-3.9633162998156966,29.154230799999997,56.75,0.008754872951012163
22.0,198.0,129.5039,0.0876,801.9874,0.0233,3.9221,151.0,225.0,166.3086,0.0,-3.759301918410482,18.68630642,58.69139999999999,0.008959646255007636
6.0,215.0,108.1289,0.0938,950.525,0.0233,3.973,152.0,236.0,179.5859,0.0,-3.759301918410482,22.1472325,56.41409999999999,0.008645620724942038
